"Fiber_name","PC2_greater","psig"
"f1",0.103839935583889,0
"f2",0.0232168353764766,0
"f3",0.129532048010335,0
"f4",0.00394133996039046,0
"f5",0.0192149450344895,0
"f6",0.0262597023201281,0
"f7",0.0953950157913467,0
"f8",-0.0423237930454349,0
"f9",0.0632558627022593,0
"f10",0.079940916374548,0
"f11",0.0547395827452914,0
"f12",0.0302306236416493,0
"f13",0.0225912908748706,0
"f14",0.0584216353017069,0
"f15",0.0138006611272882,0
"f16",0.187198781725769,0
"f17",0.154021140712546,1
"f18",0.0779094286490433,0
"f19",0.191089125422769,1
"f20",0.121022068002336,0
"f21",0.118849022409891,0
"f22",0.0503453439234936,0
"f23",0.134594415529674,0
"f24",0.0236969257334547,0
"f25",0.209443383855783,1
"f26",0.126436156643351,0
"f27",0.010928347709783,0
"f28",0.0627453018215142,0
"f29",0.0198563368107711,0
"f30",0.174378711297442,0
"f31",0.40192534497243,1
"f32",0.323764881507657,1
"f33",0.139002960532123,0
"f34",0.0951120313086204,0
"f35",0.0754411700651001,0
"f36",0.124473674612481,0
"f37",0.131097280938314,0
"f38",0.400822783098322,1
"f39",0.395588847161587,1
"f40",0.228210437085302,1
"f41",0.250588692305682,1
"f42",0.0946559642765431,0
"f43",0.204625275581613,1
"f44",0.208307297732853,1
"f45",-0.0733543671371163,0
"f46",-0.0606207064381656,0
"f47",-0.0562290189197066,0
"f48",0.00794650064385427,0
"f49",-0.040574012626369,0
"f50",0.152555671195482,0
"f51",0.096818224279895,0
"f52",0.0494474459007892,0
"f53",0.00434147895446626,0
"f54",0.197150432340764,0
"f55",0.00836897778236761,0
"f56",0.0648848873403621,0
"f57",0.0741062372445653,0
"f58",0.173539108797044,1
"f59",0.136411455994998,0
"f60",-0.00921250437984887,0
"f61",0.14099759923845,0
"f62",0.149071336149567,0
"f63",0.0792463190224353,0
"f64",0.0512920832369092,0
"f65",-0.11651785219531,0
"f66",0.143825109697471,1
"f67",0.0796204328604151,0
"f68",0.130624043544416,0
"f69",0.0521314800180395,0
"f70",0.0388294302645736,0
"f71",0.0387136802607277,0
