Fiber_name,PC2_greater,psig
f17,0.154021140712546,1
f19,0.19108912542276896,1
f25,0.209443383855783,1
f31,0.40192534497243004,1
f32,0.323764881507657,1
f38,0.400822783098322,1
f39,0.39558884716158704,1
f40,0.22821043708530198,1
f41,0.250588692305682,1
f43,0.204625275581613,1
f44,0.208307297732853,1
f58,0.173539108797044,1
f66,0.143825109697471,1
f173,0.230549622166215,1
f175,0.361634977507274,1
f204,0.34652952043439694,1
f352,0.222554053875878,1
f371,0.358983302696371,1
f398,0.141290835514629,1
f406,0.505746162682883,1
f407,0.3113088896370039,1
f411,0.159068639254931,1
f571,0.35967956797853,1
f597,0.28149077650742305,1
f598,0.32955293643116496,1
f610,0.12645717666953302,1
f621,0.26300636998375504,1
f622,0.27528624068481894,1
f624,0.29101198747148405,1
f643,0.126344523637942,1
f647,0.32287697785932395,1
f654,0.22328009482946698,1
f655,0.24630355809902602,1
f669,0.302369297098251,1
f706,0.22908670743198398,1
f769,0.0961403916788598,1
f832,0.144615645077234,1
f833,0.13080092022523,1
f845,0.19716154715491602,1
f864,0.12327189814062299,1
f873,0.279003273560202,1
f897,0.232409900130682,1
f970,0.0955870549792754,1
f983,0.134989369901578,1
f1105,0.135438799451855,1
f1106,0.136583826585248,1
f1118,0.18583087636214998,1
f1126,0.143430188023215,1
f1128,0.15710020344397002,1
f1134,0.151276664228638,1
f1137,0.11553170017653099,1
f1144,0.290605779588836,1
f1146,0.263414352978127,1
f1162,0.13935634295046398,1
f1166,0.23487853981650503,1
f1167,0.267127040506869,1
f1168,0.182761023491374,1
f1180,0.186067746741087,1
f1181,0.22238356652802502,1
f1202,0.24338587807671902,1
f1203,0.16020968416401002,1
f1242,0.11495289174763199,1
f1285,0.135304335122864,1
f1291,0.117747692758303,1
f1299,0.147326495336689,1
f1316,0.130120693741024,1
f1326,0.151094298700605,1
f1345,0.18845610633242302,1
f1355,0.11287036386758302,1
f1357,0.14927681617969799,1
f1359,0.18954216082721803,1
f1396,0.198953614175719,1
f1397,0.20448064789574802,1
f1454,0.147083465847039,1
f1462,0.20480425868717897,1
f1463,0.17826012031230104,1
f1490,0.155361331777863,1
f1495,0.10288562306323501,1
f1497,0.12008770279079599,1
f1523,0.16215131266066,1
f1526,0.25974542463962397,1
f1533,0.28790832860392607,1
f1538,0.323333364547577,1
f1544,0.39591746974953207,1
f1576,0.062720439730967,1
f1586,0.160423892072814,1
f1598,0.157471788130586,1
f1623,0.259315126772322,1
f1624,0.123359137558004,1
f1641,0.14617365728652199,1
f1649,0.139871037324405,1
f1653,0.184990400582798,1
f1654,0.17823137543888398,1
f1664,0.14558497986804403,1
f1666,0.15153595535460399,1
f1683,0.234585792827719,1
f1695,0.28783730485258,1
f1704,0.290425582395404,1
f1727,0.0648896419146453,1
f1742,0.102071412930068,1
f1753,0.102898194421467,1
f1799,0.0909651740574163,1
f1806,0.103148301004894,1
f1812,0.178473926920455,1
f1819,0.17724675388550098,1
f1820,0.133185112379067,1
f1821,0.13346923900971197,1
f1823,0.11299285578195199,1
f1828,0.12175057804534,1
f1829,0.154481726241361,1
f1858,0.157042767670505,1
f1859,0.167339592719886,1
