Fiber_name,PC2_lesser,psig
f5,-0.171283829565396,1
f131,-0.0900470990279661,1
f157,-0.0715945671168757,1
f164,-0.0682283182700157,1
f181,-0.0647752587822115,1
f182,-0.0685242585113192,1
f183,-0.0882577456349956,1
f191,-0.0734265762117145,1
f249,-0.0605056845386086,1
f257,-0.0763304926048133,1
f258,-0.0733797404046486,1
f259,-0.0785589533568251,1
f260,-0.0605046370102427,1
f265,-0.0650449441768697,1
f270,-0.0551667772775921,1
f272,-0.0718177075041594,1
f280,-0.0822384874144223,1
f343,-0.0678278794618835,1
f372,-0.173365738690253,1
f381,-0.0564850941280264,1
f391,-0.0407520409353729,1
f407,-0.0518971403317695,1
f408,-0.0564336502717894,1
f415,-0.0843931919736992,1
f416,-0.0716502750633523,1
f418,-0.0566837866823662,1
f428,-0.0939974031737571,1
f429,-0.0852064376454749,1
f443,-0.0880728396879333,1
f444,-0.0897184428101081,1
f462,-0.0597785900335193,1
f472,-0.0459598324052998,1
f476,-0.0651685469726101,1
f483,-0.0529900352740722,1
f486,-0.0902757061430309,1
f487,-0.11103930674906301,1
f488,-0.0991815319264827,1
f497,-0.0646943267919383,1
f498,-0.0705044719201638,1
f512,-0.24461130634921,1
f541,-0.240119893771417,1
f547,-0.11626202488183199,1
f553,-0.09525047071355698,1
f565,-0.0760202740442128,1
f595,-0.0767947211646928,1
f596,-0.114460626816714,1
f605,-0.10970642874793698,1
f606,-0.0630350963560375,1
f611,-0.0983609474102329,1
f616,-0.0923951751148093,1
f629,-0.080769065724245,1
f634,-0.061556732869783,1
f658,-0.06924995136725,1
f663,-0.0956943403699232,1
f664,-0.0612216129582006,1
f667,-0.0959259790000842,1
f668,-0.0984849941005082,1
f672,-0.0665870679484237,1
f673,-0.0972799375200084,1
f678,-0.098254880010174,1
f679,-0.0704325033418928,1
f680,-0.0660489781253193,1
f687,-0.0803120687214661,1
f695,-0.0706538995812524,1
f696,-0.0937210353110211,1
f699,-0.0774001777541024,1
f700,-0.111889402970105,1
f701,-0.12193918384792099,1
f703,-0.0882687056683984,1
f704,-0.10210054281495098,1
f705,-0.104787309196123,1
f707,-0.0894432148735375,1
f708,-0.0875895060338546,1
f721,-0.100753319759563,1
f724,-0.0765035647272501,1
f725,-0.0960304149419363,1
f741,-0.08403448402352201,1
f742,-0.0654378315494106,1
f743,-0.0904508718207086,1
f744,-0.0950058691591333,1
f750,-0.0586506526020625,1
f751,-0.0838961477193581,1
f752,-0.0983582191625834,1
f759,-0.0867530228376725,1
f777,-0.0978601951068475,1
f784,-0.12152119453116901,1
f785,-0.0913055291845202,1
f790,-0.10753962174305999,1
f791,-0.11411612720737699,1
f796,-0.0995429792169462,1
f797,-0.11835163337083199,1
f798,-0.0989561570692006,1
f801,-0.120724815025688,1
f819,-0.0685027110869684,1
f848,-0.0594261006267516,1
f849,-0.0695422678226286,1
f850,-0.0943748610821225,1
f852,-0.0760613097139363,1
f855,-0.0630040482711672,1
f856,-0.0863217349996703,1
f857,-0.0872958693352681,1
f858,-0.0735084794986694,1
f861,-0.0579810612028398,1
f862,-0.07922425322061001,1
f863,-0.0914724439779709,1
f864,-0.0788994735330533,1
f869,-0.0891214427908669,1
f870,-0.0851239696335833,1
f871,-0.0882480136031264,1
f881,-0.0663155102384989,1
f891,-0.0765596871363969,1
f892,-0.0816126775228436,1
f901,-0.0759512206458109,1
f902,-0.10708623176841199,1
f908,-0.0541870660130911,1
f915,-0.119547114354095,1
f927,-0.10692425079057401,1
f936,-0.101580545989691,1
f941,-0.0932743268609624,1
f942,-0.11345253548872698,1
f997,-0.10479086835060099,1
f998,-0.10944433667094801,1
f1001,-0.0993271490299409,1
f1002,-0.098866207302146,1
f1007,-0.0622845223769533,1
f1008,-0.0967663646647347,1
f1009,-0.0893268934558848,1
f1015,-0.0433625705451344,1
f1016,-0.0633806709130957,1
f1017,-0.0936228480869633,1
f1018,-0.073278109969784,1
f1023,-0.0707857853008783,1
f1025,-0.0638169794190837,1
f1026,-0.10290011698752399,1
f1036,-0.110139707773405,1
f1037,-0.0698514643700157,1
f1038,-0.0579631690567002,1
f1048,-0.0946333843930435,1
f1049,-0.079725125737987,1
f1059,-0.0713501709312465,1
f1061,-0.0734622189167579,1
f1064,-0.107234682612739,1
f1072,-0.0802461225525013,1
f1076,-0.0762458090484879,1
f1079,-0.1005247898229,1
f1091,-0.0918774505561702,1
f1105,-0.0904205088553678,1
f1119,-0.0842086673023954,1
f1127,-0.0868794500297127,1
f1130,-0.055788389998543,1
f1137,-0.0594427180387519,1
f1148,-0.072295632385243,1
f1178,-0.0722364941923525,1
f1179,-0.0850556140205143,1
f1180,-0.0904860066636468,1
f1184,-0.0723355317342714,1
f1185,-0.116484992833267,1
f1186,-0.109200903476821,1
f1190,-0.0835433423298146,1
f1191,-0.10451579503369501,1
f1192,-0.0921725811383477,1
f1196,-0.0972952536283108,1
f1197,-0.0824505403729088,1
f1198,-0.10077848062701,1
f1199,-0.080421781022086,1
f1204,-0.060566905531006,1
f1205,-0.0735881978435753,1
f1213,-0.0866096980989531,1
f1214,-0.075707010248117,1
f1215,-0.0735377164517934,1
f1221,-0.0742822045758271,1
f1224,-0.0516725933405107,1
f1233,-0.0570036106148578,1
f1238,-0.0981067829214617,1
f1240,-0.0480385731481733,1
f1255,-0.0898635420533194,1
f1256,-0.0932945601230586,1
f1270,-0.0624364231410708,1
f1272,-0.0672805741428925,1
f1285,-0.0869653223628031,1
f1288,-0.0881880769196353,1
f1289,-0.081582132325481,1
